Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
7.740389,-0.223601192,-0.000240714216,2.36263323,-0.2540072,-0.354923517,2.032232,-0.0456056744,-0.0002280031,2.37248468,-0.007656568,-0.37234956,2.06432247,0.00201821746,-0.8018452,2.09060526,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9625714680484283
7.77345848,-0.228501529,-0.05791289,2.35691,-0.264737,-0.418705583,2.03545475,-0.0490383133,-0.0530601628,2.36997247,-0.004177373,-0.411478877,2.04613447,0.0019041053,-0.8330971,2.067346,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9097628443888883
7.806014,-0.240790874,-0.0584188178,2.3522563,-0.2673404,-0.422956616,2.034374,-0.0520184822,-0.0499532931,2.37385774,-0.00700472761,-0.416864127,2.06069517,0.004208939,-0.8379902,2.066414,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9128879891773855
7.84107828,-0.2602174,-0.110264987,2.32954121,-0.271852344,-0.467451185,2.00222421,-0.077074416,-0.102345638,2.35793138,-0.005219325,-0.45788464,2.03654337,0.1007239,-0.847914934,2.0551424,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8606601481684578
7.872142,-0.246524632,-0.115256928,2.35005,-0.271047831,-0.4597922,2.0091424,-0.0730775148,-0.106480084,2.363103,-0.00181958789,-0.471266061,2.053398,-0.0039038714,-0.8681812,2.038735,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8564992162735104
7.90569353,-0.2591888,-0.08166225,2.34915686,-0.270063847,-0.441376328,2.02450466,-0.07382419,-0.0549385026,2.3748548,-0.006506228,-0.4144627,2.0566535,-1.4251098e-05,-0.820088,2.09339857,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9080422847310672
7.940751,-0.216375738,-0.0354210846,2.3598125,-0.261799753,-0.40400672,2.04931617,-0.0317601226,-0.0250450261,2.36923552,0.00153559167,-0.395458341,2.05863547,0.005065279,-0.807053864,2.09947658,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.937666937809845
7.97281551,-0.225002676,-0.198719457,2.32820368,-0.2703245,-0.482509434,1.99703145,-0.0666701049,-0.190766633,2.35286,-0.00679213367,-0.476457447,1.98516262,0.117140442,-0.8575889,2.04173851,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.772175326679847
8.005369,-0.219407052,-0.183303714,2.32639456,-0.2504216,-0.39837417,1.94836283,-0.0630456954,-0.162765354,2.35870647,-0.03525137,-0.364814162,1.983077,0.07385648,-0.856514037,2.015843,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8001517168855339
8.040435,-0.233238727,-0.162200257,2.32166386,-0.25201726,-0.3955453,1.95245492,-0.0770596,-0.1479062,2.35349226,-0.036703486,-0.35739103,1.98501563,0.07452932,-0.8576751,2.01548862,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8151012702810397
8.072494,-0.241399154,-0.142863467,2.30927968,-0.25950247,-0.372901469,1.96287394,-0.08734252,-0.125657216,2.324852,-0.0372004621,-0.323782384,1.98915815,0.0727411658,-0.852419138,2.02205968,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8374210745801048
