Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
6.501268,-0.24132435,0.5359216,2.28601813,-0.260814637,-0.0435076356,2.13036466,-0.06660801,0.5432337,2.31452775,0.130107626,0.163331851,1.889926,0.0467768162,-0.355809659,1.90200353,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.5082274843465264
6.535333,-0.249636278,0.5786084,2.27666187,-0.2451223,-0.00158267072,2.12165356,-0.07334572,0.5829027,2.30044842,0.132445365,0.170031443,1.90265059,0.053227175,-0.3918598,1.91554642,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.5477645389452466
6.56789351,-0.197233945,0.5364504,2.30240536,-0.228206918,-0.0433059558,2.15312243,-0.0268756654,0.5255296,2.317947,0.130539492,0.171801969,1.95659184,0.0742133558,-0.391209066,1.978253,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.4900744265391281
6.601002,-0.162195,0.489438444,2.31700325,-0.2006561,-0.09127703,2.17970729,0.00761181349,0.467125237,2.31740546,0.127007365,0.167653665,1.9593035,0.09407009,-0.395157218,1.98122752,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.4312363260381933
6.63508463,-0.1741467,0.549621046,2.31457567,-0.186589062,-0.0242521558,2.1377244,0.004841003,0.5094344,2.32155657,0.05545017,0.117635183,2.09825277,0.0402876474,-0.460137665,2.017163,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.473634326600669
6.668633,-0.1705223,0.434097141,2.314169,-0.192580551,-0.06943995,1.977121,-0.00352119841,0.389441133,2.31398845,0.05916675,-0.002798322,2.06818247,0.0722433,-0.562330067,2.02717066,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.3536571939412854
6.700186,-0.176891923,0.30168882,2.28349257,-0.197998,-0.209042579,1.95976663,-0.009903321,0.262217224,2.2841506,0.081740126,-0.255323917,2.052183,0.042918466,-0.745479047,2.08652115,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.2260940228802142
6.736755,-0.179213509,0.186779961,2.23503256,-0.1998383,-0.356905729,1.97933078,-0.0122663919,0.151401758,2.233121,0.0487355627,-0.25128594,2.04617953,0.02262351,-0.8147218,2.06481576,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.1145696088665669
6.76830864,-0.185566768,0.121099979,2.22507381,-0.192732617,-0.419201553,1.96178186,-0.0121484045,0.0985996053,2.23721671,0.0298453551,-0.3469054,2.04996371,-0.00501239672,-0.875270247,2.05096245,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.0618370592915691
6.8003726,-0.181395084,0.0630473047,2.22769785,-0.185198039,-0.3859022,1.91375482,-0.0102994991,0.04389286,2.24206281,0.0349974521,-0.35263148,2.03868246,0.0139913047,-0.879681647,2.04962778,-0.0126665169,0.999808848,0.0148945646,0.929780066,1.0071895332338274
