Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0020005,0.549033,0.0344229341,2.15838742,0.701050043,0.24381,2.03257823,0.844317,0.4453433,1.89645612,0.9819707,0.5203447,1.86451721,0.660283267,0.425960153,1.88820958,0.431015164,0.360525638,1.96691871,0.320715338,0.1342546,1.96163261,0.297030061,0.04084951,1.95952415,0.916725,0.241785109,1.99144769,0.959159732,0.0192046147,2.00969672,0.9190776,0.152585313,1.81959617,0.963063538,0.117351808,1.79560184,0.482643485,0.0754250139,2.11279821,0.3060307,-0.4029471,2.16778135,0.186819449,-0.8464966,2.22680068,0.218519241,-0.8673295,2.059702,0.597780764,-0.00776751153,2.13370061,0.6126577,-0.3869701,2.09852314,0.58135,-0.880734,2.139882,0.596551061,-0.9233333,2.02200627,0.8099118,0.39615345,1.93235731,0.2842835,-0.033448454,1.972074,0.261669427,0.0359297134,1.945339,0.968833148,0.209147453,1.66729176,0.9257834,0.16619724,1.79607451,0.00174518616,0.99995774,0.00902403053,0.935046256
0.0330841,0.5490976,0.03443177,2.15837026,0.701155961,0.243777648,2.03255963,0.84444344,0.4452671,1.89644361,0.981966436,0.52024436,1.86443484,0.660338759,0.42594552,1.8881551,0.431421548,0.360924274,1.96653891,0.320983559,0.134528741,1.96144319,0.297627568,0.040446274,1.95938194,0.9167767,0.241755918,1.9914012,0.9596974,0.0225628857,2.02597785,0.942668736,0.129502654,1.816386,0.9456397,0.10699299,1.79736161,0.4826893,0.07540621,2.11276436,0.306174725,-0.403004438,2.167728,0.18680574,-0.847448945,2.22672677,0.218228236,-0.866444,2.05912137,0.597864151,-0.007718064,2.13370228,0.61245656,-0.386949837,2.09797239,0.5813047,-0.8806817,2.13968444,0.5952329,-0.9243461,2.022162,0.810037136,0.3960857,1.93234265,0.284617275,-0.0341638625,1.96867645,0.2655241,0.0379322767,1.94019127,0.9405676,0.104535706,1.74465108,0.9239759,0.104478225,1.77166677,0.00174518616,0.99995774,0.00902403053,0.935046256
0.0671517,0.5495089,0.034025427,2.15814638,0.7014739,0.243584231,2.03245759,0.8446502,0.445229143,1.89642859,0.981971562,0.5202454,1.86438584,0.6604351,0.425874978,1.88808632,0.431339651,0.3607652,1.96654344,0.321248382,0.134548619,1.96120346,0.2979157,0.0402560234,1.95877361,0.91677916,0.241758168,1.99139977,0.9594757,0.02245063,2.02571845,0.927208245,0.142888337,1.82552791,0.9316695,0.0904288,1.87422621,0.483313978,0.07492331,2.11198568,0.3064997,-0.4033193,2.16725183,0.187252685,-0.846457958,2.22726965,0.218519583,-0.867030561,2.05999613,0.59815073,-0.008110819,2.13381934,0.612509966,-0.387355,2.09774375,0.580580235,-0.8807935,2.141536,0.5996371,-0.920919538,2.02323532,0.810271263,0.396013439,1.93230963,0.285459548,-0.0343520977,1.96707547,0.255096823,0.0262028314,1.95644438,0.948132932,0.10458345,1.74513066,0.8915844,0.0874358341,1.84219992,0.00174518616,0.99995774,0.00902403053,0.935046256
0.0997075,0.5495412,0.03399569,2.15811825,0.701529562,0.243502989,2.03240728,0.844706357,0.445104182,1.89636481,0.9820228,0.5202042,1.86436594,0.660446942,0.425873667,1.88798642,0.4315629,0.360830754,1.96618938,0.321434826,0.134545743,1.96075487,0.2977,0.0423302725,1.95800269,0.916772366,0.241716847,1.99136138,0.9573731,0.0208935849,2.021124,0.930852532,0.0349056162,1.78627157,0.933993459,0.100224912,1.771037,0.483351439,0.07463531,2.111811,0.306685239,-0.4037193,2.16673851,0.186977372,-0.846282244,2.22700214,0.2188156,-0.8669913,2.05990672,0.598201334,-0.008029071,2.133845,0.599523962,-0.387861043,2.101772,0.5718528,-0.824195862,2.14529514,0.5885508,-0.9048362,2.04776573,0.8103306,0.395895571,1.93224812,0.284511358,-0.03055494,1.96724713,0.2579117,0.0253354516,1.947746,0.923829,0.10367541,1.653554,0.8934125,0.09707202,1.73927307,0.00174518616,0.99995774,0.00902403053,0.935046256
0.1332668,0.549544036,0.03390223,2.15810442,0.7015538,0.243443534,2.03239751,0.844731569,0.445079982,1.89636123,0.9820559,0.520175338,1.8643502,0.6605268,0.425826281,1.88793337,0.4314142,0.360736549,1.96621466,0.321573615,0.134382755,1.96050012,0.297474742,0.0399480537,1.95703,0.9168351,0.241718784,1.99135625,0.951968253,0.0173087716,2.007743,0.9310111,0.162817642,1.824168,0.941465139,0.09366326,1.86904824,0.483366877,0.07462803,2.111834,0.306694061,-0.403740436,2.16668344,0.187134251,-0.8462291,2.22681475,0.21919097,-0.867097437,2.05981636,0.5981284,-0.00832168851,2.13374162,0.6088482,-0.387778223,2.09841275,0.579550743,-0.881758153,2.139156,0.5962652,-0.923353434,2.021076,0.8103576,0.3958621,1.93224311,0.2840261,-0.0340993181,1.96443653,0.264311284,0.0356215462,1.93778956,0.972509742,0.114163436,1.77026546,0.8961347,0.09210075,1.81862521,0.00174518616,0.99995774,0.00902403053,0.935046256
0.1658311,0.5496319,0.0337749869,2.15788937,0.7016437,0.243310064,2.03230071,0.8448104,0.444948435,1.89635432,0.9821704,0.520067036,1.86434865,0.660564065,0.4257307,1.887819,0.431778282,0.3609984,1.96568537,0.3217289,0.1344261,1.96017027,0.297273368,0.0399603434,1.95608187,0.9167954,0.241596892,1.99129856,0.9521401,0.0172031112,2.00751472,0.91367203,0.175980613,1.83862484,0.9369376,0.09444437,1.87854457,0.483395427,0.0744803548,2.11177444,0.306476653,-0.403868765,2.166292,0.1870548,-0.845724,2.22627854,0.219903931,-0.8677064,2.05976868,0.598273635,-0.00836135447,2.13330746,0.607704341,-0.387893975,2.09784317,0.5814292,-0.88228333,2.13619423,0.595715046,-0.9255203,2.018531,0.8104403,0.39572835,1.932215,0.284197867,-0.03411299,1.96575654,0.261144161,0.0343761444,1.94207561,0.9338414,0.10405077,1.73665786,0.868201,0.0560648069,1.8735,0.00174518616,0.99995774,0.00902403053,0.935046256
0.2003772,0.5496525,0.0336643867,2.15780735,0.701701164,0.243234724,2.0322597,0.844887555,0.444906026,1.89634883,0.982264757,0.5200155,1.86430013,0.6606363,0.425546169,1.88775671,0.4315871,0.360677183,1.96568143,0.321866035,0.1343156,1.95973432,0.297394335,0.0402049273,1.95715761,0.916859269,0.241616845,1.99129546,0.953010857,0.01755267,2.00863266,0.9360475,0.0383143835,1.773506,0.9268046,0.103191018,1.77706861,0.4834089,0.07427522,2.11172915,0.30644834,-0.4040516,2.16625023,0.186361328,-0.8457716,2.225409,0.218619213,-0.8676953,2.05872774,0.598282337,-0.008387472,2.13322163,0.6026398,-0.38816756,2.09755731,0.5757922,-0.8252209,2.14066744,0.587298155,-0.9051858,2.05006218,0.8105138,0.395676762,1.93220091,0.284316123,-0.034128055,1.96663654,0.2607903,0.0333629847,1.94547963,0.9129514,0.100405738,1.75674629,0.90684706,0.09973439,1.745,0.00174518616,0.99995774,0.00902403053,0.935046256
0.232942,0.5496941,0.03364911,2.1577692,0.7017849,0.243225887,2.03220749,0.8450018,0.444919825,1.89629292,0.9825429,0.5201013,1.86422169,0.6607813,0.4255497,1.88755381,0.431437373,0.3605343,1.96561444,0.3219365,0.134156436,1.9593693,0.297719449,0.0400787741,1.957074,0.917014241,0.241683215,1.99129,0.9533718,0.01762734,2.008418,0.9457198,0.14484635,1.810457,0.969377,0.112933449,1.75406277,0.4834648,0.07423472,2.11173749,0.30649972,-0.4041049,2.166187,0.186560839,-0.8455816,2.2259295,0.21974498,-0.8685889,2.059776,0.598308265,-0.008361253,2.13312745,0.610214055,-0.3877333,2.09849048,0.582867,-0.8819517,2.13835478,0.597157955,-0.923091233,2.019345,0.8106223,0.3956826,1.93214512,0.2856284,-0.03428579,1.96826911,0.2615928,0.03416632,1.9440285,0.9427792,0.106843986,1.7045815,0.9339229,0.103017427,1.719,0.00174518616,0.99995774,0.00902403053,0.935046256
0.2665032,0.5497342,0.03361543,2.15773439,0.701880157,0.243175238,2.032179,0.8451501,0.444864422,1.89628839,0.982610762,0.5200014,1.86417818,0.660915,0.425466239,1.88736761,0.431582332,0.3608238,1.965347,0.3220533,0.134106308,1.95907223,0.2975373,0.0406976044,1.95644069,0.9170737,0.241729975,1.991287,0.9540767,0.0178674627,2.00882649,0.9452852,0.1440482,1.81020653,0.948779166,0.1073427,1.79216671,0.483578116,0.0740719438,2.11148429,0.3065067,-0.404187232,2.1661377,0.18628262,-0.8457684,2.22676587,0.218595356,-0.8681883,2.06022286,0.5983255,-0.008343799,2.133182,0.606774569,-0.387874722,2.10049033,0.580881953,-0.882212,2.13982677,0.597474,-0.923001349,2.021216,0.8107591,0.395625681,1.93213332,0.2842561,-0.03350149,1.96775675,0.262443632,0.03901536,1.94158626,0.930353343,0.106630243,1.78073156,0.924224138,0.105927758,1.769,0.00174518616,0.99995774,0.00902403053,0.935046256
0.2990624,0.549824536,0.03350327,2.1573925,0.7019317,0.24307853,2.03206325,0.845170557,0.444788545,1.89628637,0.982680261,0.519982338,1.86405563,0.6609746,0.425383538,1.8871094,0.4317489,0.3611074,1.96498942,0.322152644,0.1340542,1.95867407,0.297578931,0.0402039737,1.9552505,0.9170738,0.241703331,1.99125791,0.953631341,0.0175318252,2.00736356,0.945585,0.119173378,1.79464185,0.938751161,0.09565312,1.88419783,0.483659416,0.0738526,2.11108685,0.306242138,-0.404263258,2.165841,0.186464563,-0.8452059,2.226718,0.219637886,-0.8668115,2.06018972,0.59837997,-0.008333023,2.13296032,0.6072012,-0.387863636,2.099409,0.578947663,-0.8818625,2.14079046,0.596550167,-0.9226135,2.02243137,0.810785651,0.3955469,1.93211043,0.285272151,-0.0342458338,1.96580768,0.266689241,0.03478313,1.933969,0.9546186,0.111693621,1.7569617,0.890483439,0.0757245,1.84028578,0.00174518616,0.99995774,0.00902403053,0.935046256
