Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
5.315875,-0.212488085,-0.0552323,2.28227568,-0.24376376,-0.454126537,2.01457429,-0.2539725,-0.839199841,2.04568,-0.04102885,-0.0304487161,2.3163054,0.01866396,-0.402972728,2.01288414,0.0736714453,-0.813529432,2.0577352,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.9385050449886634
5.34992552,-0.228456125,-0.123945996,2.28303885,-0.241240412,-0.475531727,1.99596858,-0.249411821,-0.84351784,2.04223323,-0.0579266474,-0.091848135,2.31977534,0.0441587754,-0.478600383,2.05201578,0.0722761154,-0.86242485,2.024237,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.8773602442259565
5.382472,-0.191744477,-0.2327843,2.26707339,-0.252457649,-0.5633109,2.05656362,-0.257256031,-0.847841859,2.05795431,-0.03545226,-0.2183732,2.29333639,0.06448449,-0.505582154,2.01821971,0.0743863,-0.8706681,2.013391,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.7503644655061475
5.416531,-0.165407047,-0.219863892,2.26605368,-0.192923784,-0.5357389,2.06661081,-0.249541551,-0.8408643,2.03911018,-0.0213583037,-0.209095418,2.28797865,0.06470504,-0.5069796,2.01951027,0.128777862,-0.8653002,2.014757,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.759417042672332
5.449585,-0.17846626,-0.2264455,2.23707652,-0.2181496,-0.462771863,1.93000591,-0.249491125,-0.8413353,2.03910565,-0.0381311,-0.217890888,2.2624886,0.03706075,-0.347848,1.92308581,0.142058074,-0.862966239,2.0173893,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.7506623065229032
5.482145,-0.192604125,-0.194301054,2.2416954,-0.214718848,-0.377063036,1.92149353,-0.249421164,-0.841332138,2.03840542,-0.05201954,-0.180356115,2.27281928,0.0325231068,-0.3398047,1.94971406,0.154953614,-0.868971348,2.013765,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.7884497363878573
5.517215,-0.17901662,-0.127832457,2.26088428,-0.2102735,-0.3448981,1.95264137,-0.257714331,-0.8431795,2.04115963,-0.0351762734,-0.1101144,2.285602,0.0321905762,-0.2841079,1.96594822,0.150555328,-0.8624362,2.01685047,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.8585523469099341
5.549277,-0.174262732,-0.0946312845,2.25314617,-0.211173087,-0.3035463,1.951836,-0.259696215,-0.844282269,2.0411253,-0.0320917219,-0.06920836,2.27697015,0.0364062078,-0.26097855,1.96860075,0.07539133,-0.862141967,2.01566386,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.8993515856003985
5.581824,-0.168812081,-0.0319940671,2.24506617,-0.20994395,-0.281650364,1.98042941,-0.2508067,-0.7588115,2.00643,-0.0309143439,-0.007853706,2.27082276,0.0484657623,-0.237881511,1.96630347,0.140679076,-0.8291134,2.00522256,-0.0131965391,0.9998875,0.00712427543,0.95190686,0.960640006743176
5.616886,-0.159453154,0.03543258,2.25007439,-0.211265057,-0.220148236,1.99316669,-0.264347136,-0.7897594,1.96471775,-0.0240378678,0.0638725,2.278885,0.07394161,-0.187901631,1.965448,0.10259454,-0.792521656,1.98445964,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.0323248384668462
5.64995146,-0.1509741,0.105454847,2.251453,-0.247052386,-0.323415965,2.06401682,-0.351401567,-0.791056633,2.043367,-0.0164693017,0.133243516,2.28300333,0.0909512639,-0.114363715,1.94895566,0.06624568,-0.673155665,1.98022914,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.1016175143557827
5.68250847,-0.190464154,0.1643396,2.23780584,-0.22730431,-0.152657434,2.07130075,-0.284089983,-0.7296436,1.99340415,-0.0505083762,0.16441299,2.26849222,0.113500483,-0.0179250762,1.90700817,0.00220680237,-0.5786133,1.95996094,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.1331292999371176
5.71658039,-0.233488,0.291324645,2.25417876,-0.231051937,-0.152564675,2.07079983,-0.322056621,-0.730493546,2.0280323,-0.09471713,0.287906229,2.30139852,0.0594667,0.08277096,1.91548693,-0.00112247467,-0.5024414,1.94042969,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.257426487223535
5.749636,-0.235228911,0.399949968,2.25667,-0.227381781,-0.0390351266,2.05659556,-0.3289101,-0.6618355,2.04505539,-0.09111353,0.4051512,2.31317782,0.0495510772,0.181466728,1.89911485,-0.0338134766,-0.403076172,1.93457031,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.3746946369836002
5.782187,-0.2531887,0.4368118,2.25391173,-0.238956854,0.001580268,2.04388571,-0.389205575,-0.6395797,2.00426388,-0.106025308,0.430445045,2.311072,0.0447584838,0.191395849,1.90960968,-0.0370410644,-0.33684358,1.96665716,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.4001674189079831
5.816267,-0.268719554,0.494764119,2.24918079,-0.2446566,0.05366271,2.05306363,-0.3252973,-0.5552049,1.98229527,-0.118624114,0.5027838,2.30469227,0.0683219656,0.217021734,1.95368814,0.00423804671,-0.327333182,1.96333671,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.4726188485015421
5.84932947,-0.208557,0.481657773,2.27246881,-0.223370954,0.0497592762,2.054352,-0.2760345,-0.522626162,1.93996525,-0.0554968379,0.491548121,2.321372,0.109655067,0.209097221,1.95668912,0.00107995607,-0.413536668,1.98805845,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.460670202440464
5.881887,-0.200593829,0.465577573,2.28007531,-0.212514177,0.0440197028,2.04051065,-0.227842554,-0.7544001,1.933085,-0.0496503152,0.4774674,2.32323456,0.115576282,0.199938074,1.95476115,0.0256257448,-0.395719826,2.0331192,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.4465271804568542
5.91696644,-0.225651756,0.394670755,2.27164435,-0.215390831,-0.020702593,2.021027,-0.194421709,-0.618508935,1.84255207,-0.0684266537,0.371915668,2.31881118,0.04112504,-0.03094158,2.072587,-0.00701306,-0.6436657,2.01095247,-0.0131965391,0.9998875,0.00712427543,0.95190686,1.3412035879424744
