Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
6.94296646,-0.144186914,-0.227403864,2.29740214,-0.211544663,-0.637801,2.05014348,-0.2991781,-0.895453,2.30916786,0.0241468586,-0.218741715,2.30946231,0.08016794,-0.5604844,2.02837372,0.1253995,-0.8903366,2.21086645,-0.009356809,0.99993664,0.006259956,0.950171053,0.7456743845688831
6.976519,-0.1568521,-0.102061428,2.32553124,-0.191529155,-0.526474237,2.09460235,-0.2990267,-0.8476952,2.26732731,0.0246176776,-0.07232864,2.33398724,0.08459806,-0.444985271,2.01952863,0.10857898,-0.788429737,2.18377352,-0.009356809,0.99993664,0.006259956,0.950171053,0.8922273009214151
7.010103,-0.122817546,-0.0259952974,2.33707881,-0.162416711,-0.4429783,2.08888435,-0.268032849,-0.792613864,2.205994,0.046602767,-0.0267698858,2.334911,0.0827804953,-0.415836066,2.03835773,0.1131769,-0.7597076,2.20133471,-0.009356809,0.99993664,0.006259956,0.950171053,0.9375832404585024
7.042652,-0.131451011,-0.03336906,2.34134364,-0.165575638,-0.448375821,2.088826,-0.259622455,-0.798536,2.21282363,0.0393074639,-0.03440636,2.34095168,0.07682422,-0.421661079,2.04229379,0.115722731,-0.765818,2.20298624,-0.009356809,0.99993664,0.006259956,0.950171053,0.9300533253330533
7.076207,-0.169235274,-0.08457237,2.3431263,-0.180334613,-0.491131723,2.07417,-0.259919137,-0.8445892,2.19789052,-0.007063678,-0.0708571747,2.37156367,0.0568163358,-0.344581366,1.96545684,0.113071263,-0.751421452,2.122989,-0.009356809,0.99993664,0.006259956,0.950171053,0.8942303361600511
7.109787,-0.206108764,-0.0373296253,2.34173656,-0.179723367,-0.4033989,2.01329041,-0.241856053,-0.731861949,2.19554758,-0.0396268554,-0.026248524,2.36749673,0.0491568819,-0.3454592,1.99973023,0.111744665,-0.7497415,2.12459636,-0.009356809,0.99993664,0.006259956,0.950171053,0.9391153885519452
7.14233351,-0.211449876,-0.0143666146,2.34219551,-0.168795079,-0.3624708,1.99422252,-0.233132318,-0.7095191,2.14233756,-0.0462014265,-0.00279529858,2.36591363,0.0455054045,-0.3331857,2.00952148,0.1102862,-0.7508209,2.12568879,-0.009356809,0.99993664,0.006259956,0.950171053,0.9626187345992189
7.175908,-0.213256016,0.037544284,2.34206486,-0.1740172,-0.3310401,2.01682115,-0.251739383,-0.766399264,2.107484,-0.0553783029,0.06139413,2.36549664,0.04022285,-0.294977129,2.037893,0.109560028,-0.750407338,2.12573624,-0.009356809,0.99993664,0.006259956,0.950171053,1.0268873514048262
7.21047735,-0.233674526,0.109775588,2.33469653,-0.186839089,-0.285521716,2.04621959,-0.258984774,-0.768669963,2.10373878,-0.08242416,0.142090559,2.36536217,0.0501380339,-0.214845911,2.05160069,0.100170106,-0.7470225,2.11068559,-0.009356809,0.99993664,0.006259956,0.950171053,1.1078308877745184
7.243025,-0.240450889,0.167240769,2.32650638,-0.180113137,-0.241051659,2.060743,-0.319672,-0.7483009,2.09981155,-0.09510223,0.20153062,2.36080384,0.0585819222,-0.14974615,2.04964948,0.08051582,-0.7166902,2.0655787,-0.009356809,0.99993664,0.006259956,0.950171053,1.1673572733633086
7.275576,-0.229129761,0.221637681,2.32836866,-0.157801628,-0.172993645,2.074322,-0.300642133,-0.6827249,2.07922649,-0.08765675,0.249409989,2.36474681,0.08040958,-0.07702641,2.03243,0.05071618,-0.6304717,2.04256916,-0.009356809,0.99993664,0.006259956,0.950171053,1.2151886251101718
7.310142,-0.110008433,0.169479266,2.30285,-0.205856457,-0.272208482,2.130981,-0.350610733,-0.8383073,2.074864,0.0165618751,0.198089316,2.319216,0.150195062,-0.0273184478,1.9387449,0.0312404688,-0.506064534,2.04315782,-0.009356809,0.99993664,0.006259956,0.950171053,1.1626110297019074
7.342693,-0.2249945,0.317549348,2.33953834,-0.24105756,-0.1392244,2.177561,-0.360019475,-0.8381708,2.062587,-0.0593731031,0.3334913,2.367951,0.116674006,0.06548399,1.98734725,0.02759967,-0.349792778,2.02810144,-0.009356809,0.99993664,0.006259956,0.950171053,1.2990200212472134
7.37524462,-0.226079732,0.40016073,2.33515286,-0.24135673,-0.0582625,2.17466116,-0.3820141,-0.792344,2.07052636,-0.059829317,0.4042224,2.36324859,0.100405969,0.114187934,1.99192238,-0.07613844,-0.361808956,2.13656163,-0.009356809,0.99993664,0.006259956,0.950171053,1.3697214708111658
7.409823,-0.202886134,0.494948417,2.33992839,-0.213005871,0.0364059955,2.17470527,-0.389666229,-0.2984333,2.26069546,-0.0326093473,0.5130422,2.36618757,0.125487432,0.204535753,2.00935221,-0.06795244,-0.278219,2.112203,-0.009356809,0.99993664,0.006259956,0.950171053,1.4782980806799504
7.44339,-0.207109764,0.5013785,2.338877,-0.221821636,0.04177694,2.177664,-0.429171622,-0.287619352,2.20822382,-0.03631684,0.513693035,2.36555648,0.09310101,0.1958499,2.00501132,-0.0614913665,-0.297303945,2.11987567,-0.009356809,0.99993664,0.006259956,0.950171053,1.4789796141413405
7.47593927,-0.163391814,0.5611389,2.343674,-0.196661919,0.101339437,2.18370938,-0.4252153,-0.2069467,2.249016,0.0135660283,0.5699412,2.36077666,0.135002509,0.24892433,1.99983287,0.0427233241,-0.275867045,2.0537045,-0.009356809,0.99993664,0.006259956,0.950171053,1.5347275487400303
7.51051855,-0.1591932,0.563035369,2.35283685,-0.201574877,0.105499148,2.18771386,-0.2796951,-0.271339029,2.09590864,0.013178057,0.567856252,2.36401677,0.12577197,0.247622564,1.99926317,0.0293324571,-0.2490615,2.15200543,-0.009356809,0.99993664,0.006259956,0.950171053,1.5326666459832983
7.543064,-0.176533476,0.49713704,2.3797,-0.238142639,0.05280924,2.18461347,-0.227077886,-0.707458854,2.01946449,-0.01178705,0.472787231,2.38766766,0.07967027,0.166254431,2.00525212,0.0426248536,-0.3375191,2.1576488,-0.009356809,0.99993664,0.006259956,0.950171053,1.4379852968163251
7.575615,-0.1679786,0.48033002,2.38870788,-0.1702265,0.0475896671,2.15524459,-0.20922327,-0.338789076,2.198941,-0.00488552824,0.4614872,2.39894366,0.0934327,0.147730052,2.024652,0.0498330966,-0.3645459,2.14713287,-0.009356809,0.99993664,0.006259956,0.950171053,1.4266919929474589
