Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
5.238827,-0.2691366,-0.180848137,2.23455548,-0.3155181,-0.602134168,2.01876974,-0.308124572,-0.936901867,2.19652,-0.08554784,-0.117793709,2.28957033,0.00224816636,-0.4917501,1.99703276,0.057942532,-0.8508239,2.11598635,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8452796439016834
5.27137852,-0.215054169,-0.316029876,2.217892,-0.2965861,-0.607245564,2.00088859,-0.319867581,-0.9627911,2.13489723,-0.0501192547,-0.28619954,2.255614,0.03505808,-0.600961,1.99647915,0.0741914138,-0.9542369,2.132805,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.6766569256679321
5.303923,-0.209991351,-0.306835562,2.21053672,-0.248274118,-0.5015469,1.9003334,-0.310272843,-0.82990706,2.07962942,-0.0478715971,-0.283559978,2.24297929,0.0253708158,-0.383180737,1.80214226,0.06146754,-0.7819688,2.04993749,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.6792844486303142
5.33901262,-0.216461942,-0.245522022,2.2244513,-0.246129543,-0.494895518,1.90138257,-0.30412823,-0.8265421,2.076461,-0.0622520149,-0.212126017,2.27051926,-0.00386796822,-0.353228033,1.88928938,0.0597523861,-0.7867445,2.04954934,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.7508037633903909
5.371081,-0.220477045,-0.236502886,2.22187138,-0.241526812,-0.441077232,1.90219557,-0.297092974,-0.7969586,2.059719,-0.06450666,-0.2040077,2.26151323,-0.007525856,-0.341903925,1.89270115,0.07014099,-0.793821156,2.045094,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.7589380607818116
5.403641,-0.233080581,-0.189047,2.218287,-0.23523736,-0.356939673,1.88731158,-0.297236145,-0.7964808,2.05997443,-0.07956108,-0.1577298,2.254108,-0.00757223228,-0.337965161,1.89459133,0.07018024,-0.793069363,2.043623,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8053127936817259
5.43872929,-0.206692323,-0.136817873,2.22118068,-0.235665843,-0.3502482,1.9098587,-0.320746839,-0.8094835,2.049694,-0.0551771224,-0.09919945,2.25509357,-0.00186445867,-0.2846288,1.90520108,0.060272187,-0.785365641,2.0358386,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8636856582202134
5.47129154,-0.195721939,-0.07673923,2.246824,-0.233982846,-0.29171437,1.949372,-0.337322533,-0.797400653,2.037063,-0.0408340544,-0.0130723706,2.28275967,0.005850277,-0.259704381,1.9017837,0.0285353214,-0.7601971,1.996076,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9497138883429627
5.50384235,-0.211817935,-0.004429839,2.23061752,-0.225762814,-0.2533851,1.96058667,-0.37355873,-0.7532537,2.020947,-0.0633329,0.0490934551,2.26964021,0.0165575426,-0.249849573,1.89500582,0.005487022,-0.7112795,1.96992636,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0120249648657655
5.53991652,-0.216026247,0.0490601324,2.233797,-0.255319953,-0.3511743,1.9905709,-0.441186428,-0.8207792,2.04195714,-0.066145584,0.08103585,2.269036,0.052281525,-0.109997824,1.87437093,-0.03476866,-0.6286879,1.916664,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0439848254355584
