Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
5.73745871,-0.330540776,-0.179463521,2.323363,-0.330172747,-0.5257789,2.024993,-0.39142555,-0.877507865,2.161904,-0.142403513,-0.154740214,2.34839487,-0.01773688,-0.497025579,2.06404734,0.04735437,-0.867336452,2.1483655,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8086866750986983
5.77253246,-0.332652062,-0.0348568,2.37367415,-0.319028765,-0.39713788,2.05308962,-0.385866344,-0.7465362,2.19527531,-0.143113256,-0.0109568173,2.377112,-0.03919103,-0.3991657,2.112735,0.0186753087,-0.7694292,2.20425868,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9524662029187488
5.806089,-0.326186448,-0.03354521,2.37033343,-0.3177756,-0.3962596,2.050114,-0.385198057,-0.7471332,2.18878436,-0.133201078,-0.0223566331,2.37436652,-0.0445769764,-0.305182278,1.98641324,0.0186074357,-0.7699007,2.11068916,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9410036889630469
5.83866262,-0.310985178,-0.218265414,2.32370543,-0.3179079,-0.471852422,1.9905833,-0.384511381,-0.8220296,2.129719,-0.139032,-0.207949713,2.33225083,-0.05715937,-0.3372528,1.95117331,0.005139631,-0.7552916,2.11770272,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.7554597556001449
5.874763,-0.314925879,-0.201575562,2.31964064,-0.324782223,-0.5024821,1.978076,-0.393531144,-0.840192437,2.14127541,-0.150833935,-0.188561276,2.33194733,-0.06567856,-0.328856826,1.97006381,0.00690205442,-0.7763967,2.12008357,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.774923404564064
5.905313,-0.3145171,-0.186754659,2.30981636,-0.295131922,-0.362461984,1.93786609,-0.380437434,-0.7766156,2.11119676,-0.154570863,-0.169237539,2.32558346,-0.06804309,-0.325826943,1.97197044,0.0107413121,-0.776416242,2.11880565,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.7942718785176603
5.938432,-0.276706547,-0.154175311,2.29072547,-0.303474158,-0.362522334,1.97092986,-0.381528348,-0.774911046,2.11038518,-0.122698583,-0.12076968,2.31513977,-0.06879846,-0.278536558,1.98342311,0.0138767967,-0.7843327,2.0985384,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8425366952791371
5.97250271,-0.283923924,-0.0892526358,2.30039573,-0.293203026,-0.3132498,1.99867964,-0.3697097,-0.74934417,2.09561157,-0.130829617,-0.05748726,2.32209635,-0.0597373061,-0.227205008,1.999997,0.00476994738,-0.7396224,2.100811,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9058685459389799
6.005058,-0.263637722,-0.0160655566,2.30284142,-0.293472439,-0.33026135,2.003214,-0.343853533,-0.6986915,2.10547757,-0.1179547,0.0230945051,2.32532287,-0.0379743762,-0.209049076,2.000693,-0.00761807756,-0.7264468,2.09392953,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9863656238255232
6.03762054,-0.2872795,0.0456178077,2.28608036,-0.286185563,-0.300081,2.01890969,-0.341007352,-0.6744663,2.09916759,-0.142855868,0.0681861043,2.30381632,-0.007724971,-0.212624565,2.01055241,-0.0156429876,-0.7286514,2.07079959,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.031619798532426
6.07268763,-0.26614055,0.08913109,2.26999521,-0.311581939,-0.347740144,2.08651733,-0.439502925,-0.708496034,2.14351535,-0.126661941,0.104165331,2.28577733,0.01844122,-0.112572715,2.01040554,-0.0276504867,-0.634316444,2.05414248,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0674980514913532
6.105231,-0.254987776,0.0981495455,2.15147448,-0.317347854,-0.3596448,2.0804553,-0.424201757,-0.7326326,2.1006918,-0.127698645,0.103072591,2.18612528,0.03730867,-0.159721643,1.99987674,-0.0193887241,-0.581692755,2.012826,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.066430929797099
6.13829756,-0.34222132,0.431577235,2.3139236,-0.344521344,-0.02859035,2.19038415,-0.4368246,-0.4092869,2.17453456,-0.166203916,0.446802348,2.35141778,0.0174696185,0.1350173,2.02341247,-0.0503575057,-0.3484665,2.06645846,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4103686868660865
6.172366,-0.3434745,0.474179745,2.31182051,-0.336287141,0.0145810489,2.18234348,-0.456800073,-0.357095063,2.19814062,-0.1651489,0.4765308,2.34963655,0.0128276395,0.150156751,2.03335571,-0.0323893838,-0.347906828,2.04932785,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.440090114213541
6.20592928,-0.3382702,0.490329355,2.31396127,-0.2984961,0.0583699048,2.10101652,-0.39521426,-0.545311332,2.13758087,-0.160396978,0.495982736,2.35069728,0.0132658659,0.16371493,2.038288,-0.04233107,-0.223528862,2.07152128,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4595110293261657
6.237978,-0.326783955,0.536675155,2.30195355,-0.2956167,0.0970883444,2.1045146,-0.383814573,-0.248756841,2.25291014,-0.148614973,0.5498526,2.3390677,0.0283853244,0.215815157,2.030105,-0.0198657177,-0.2551256,2.03690052,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.5133065768276788
6.272044,-0.3271454,0.53656,2.30209637,-0.2989809,0.09777488,2.102161,-0.360543162,-0.258413732,2.24087071,-0.150099277,0.5451677,2.3413868,0.016158428,0.193739623,2.04701829,-0.0182233118,-0.2476135,2.088199,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.5086308336844416
6.30559969,-0.3176002,0.5130827,2.308989,-0.258640647,0.0899379849,2.0803895,-0.293200076,-0.2839942,2.18195248,-0.135801926,0.498625934,2.35129,0.0269571263,0.159508958,2.04038525,-0.0164309349,-0.25665912,2.09356618,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.46199661143611
6.33768225,-0.300282061,0.4893823,2.326844,-0.248932645,0.0729361251,2.08367634,-0.259678662,-0.4858424,2.08140135,-0.133907735,0.497873545,2.35097528,0.0268279873,0.1673202,2.02931237,-0.0117114391,-0.256265223,2.07408714,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4612321717960346
6.37274361,-0.338353932,0.504172862,2.287435,-0.247705653,0.06700465,2.10520339,-0.2769472,-0.574739933,2.11035752,-0.1574386,0.517352343,2.33601928,0.0214407034,0.1791795,2.033288,-0.00733136758,-0.2610438,2.06641865,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4808640521189742
6.40530252,-0.294822037,0.335968673,2.2804184,-0.243787661,-0.111048616,2.11625957,-0.23073177,-0.496424943,2.03272247,-0.135249764,0.3566234,2.32941318,0.0140085081,-0.052885212,2.12454247,0.0218572766,-0.582288444,2.14608383,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.3199976171693086
6.43838549,-0.275865436,0.281791478,2.269292,-0.2272905,-0.1626077,2.09783888,-0.199571565,-0.7853787,2.01458073,-0.116772413,0.292003274,2.3158977,0.007920012,-0.118029237,2.11723661,0.0278889425,-0.6428754,2.17390156,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.2552631023067404
6.472476,-0.2482889,0.193712592,2.26757336,-0.21012792,-0.243225127,2.07487226,-0.196447372,-0.7934761,2.03687453,-0.0764172748,0.1869706,2.300805,0.008124473,-0.177942336,2.11383,0.0256224964,-0.702471733,2.16982079,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.1499771143983115
6.50502348,-0.261922747,0.158742219,2.27125883,-0.192892388,-0.270835549,2.06987929,-0.219302535,-0.6565142,2.111615,-0.08613064,0.174304321,2.30943942,0.0116791306,-0.1803885,2.10785,0.0274149887,-0.7043628,2.16801834,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.1373716339934872
6.538567,-0.227807269,0.0896147639,2.28902817,-0.164654523,-0.31580773,2.036318,-0.207011253,-0.692751765,2.11295485,-0.0559043847,0.104761288,2.319174,0.0320652239,-0.32269457,2.1248858,0.0410950147,-0.824712455,2.17618442,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.067634677286598
6.57264757,-0.231076956,0.07453215,2.28798246,-0.145084649,-0.308259577,2.00492334,-0.186719909,-0.7970302,2.04538274,-0.0601884052,0.09784091,2.323299,0.05531485,-0.313002229,2.10499072,0.0408379622,-0.820283949,2.175561,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.060741081214355
6.606197,-0.205865115,0.08153091,2.31333876,-0.1417757,-0.2957318,2.01626754,-0.180003285,-0.802710533,2.04763126,-0.0361415967,0.0750694945,2.34184265,0.06526948,-0.327892631,2.10052252,0.0392509922,-0.8164322,2.17570472,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0378126654620425
6.638261,-0.189497247,0.06219105,2.31565881,-0.128939569,-0.308317661,2.008932,-0.17034775,-0.813318551,2.0513773,-0.03157683,0.06750934,2.34318256,0.06937225,-0.334559381,2.10016656,0.0433806852,-0.8138103,2.17073,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.030223189049499
6.6723237,-0.179316729,0.0009677797,2.30951619,-0.109823927,-0.3447692,1.9752568,-0.174457,-0.8078585,2.04722738,-0.0234688651,-0.0112864478,2.333846,0.0854250938,-0.385322154,2.08070278,0.0416350961,-0.811282456,2.173341,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9513788892341682
6.705891,-0.203944877,0.008709585,2.30668235,-0.110823207,-0.337407827,1.97884583,-0.176637933,-0.8036306,2.04651141,-0.0441965759,-0.01347187,2.33409643,0.110636033,-0.3555846,2.03705239,0.04201776,-0.814208269,2.177222,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9493261557578689
6.737956,-0.193432435,0.004745264,2.30612135,-0.106072649,-0.342696249,1.978199,-0.176466584,-0.803271353,2.04654121,-0.0372084565,-0.0189172924,2.33123755,0.0777190849,-0.4348009,2.12889314,0.0265875515,-0.807869,2.212465,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9438366534587509
