Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
6.76911068,-0.111187533,-0.302131325,2.24792814,-0.231573567,-0.512626648,1.98155522,-0.226072937,-0.8228332,2.051528,0.04334036,-0.2887999,2.27531576,0.08899608,-0.535409749,2.01760912,0.06926831,-0.820443451,2.06322265,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.6743000034410367
6.801669,-0.0619181581,-0.230165467,2.31273222,-0.210734665,-0.419769436,1.96285713,-0.2390301,-0.825746357,2.06841922,0.09467568,-0.205085561,2.31952882,0.0623272844,-0.5460819,2.00446534,0.121765137,-0.801269531,2.07226563,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.7583493183683152
6.83675146,-0.0989436656,-0.189562991,2.315376,-0.213220671,-0.450496256,1.95338655,-0.235307783,-0.8257258,2.0645628,0.062534,-0.175813839,2.3311286,0.08879583,-0.265934139,1.85338867,0.12210153,-0.801461756,2.07303452,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.7879574438717276
6.868813,-0.111546084,-0.198848665,2.312454,-0.211609975,-0.481178224,1.98602569,-0.233337656,-0.8249136,2.06482768,0.0506598428,-0.182220533,2.33169413,0.0676702037,-0.24889487,1.84950852,0.114020288,-0.7593218,2.08533978,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.7816244023152017
6.90136433,-0.187578514,-0.02045786,2.3220098,-0.173853621,-0.3013311,1.92840528,-0.2323359,-0.822719336,2.06430149,-0.008359043,-0.0156377517,2.35162926,0.0619616322,-0.307871282,1.97360468,0.126192033,-0.8076855,2.07133341,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.9487926242997238
6.93643141,-0.134406552,-0.0739425644,2.335175,-0.17256321,-0.348645151,1.93927,-0.230165124,-0.8232479,2.06475067,0.0413578451,-0.0560091771,2.35101223,0.0559223853,-0.369877875,1.98553848,0.114121109,-0.835628569,2.05112362,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.9081453017541163
6.9685,-0.147784635,-0.0543611757,2.335287,-0.191605225,-0.3615127,1.97879577,-0.2281091,-0.8241252,2.067185,0.0213035773,-0.0287448913,2.35319853,0.0533304922,-0.352331251,1.99793708,0.158606589,-0.8226161,2.05288744,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.9355470126370089
7.001045,-0.16518946,0.00407301,2.333806,-0.190932468,-0.3396262,1.99882662,-0.2268507,-0.826743066,2.06746864,0.000205354445,0.009473426,2.35084581,0.05006509,-0.330979556,2.014969,0.0950825661,-0.8376286,2.04706764,-0.00546719274,0.9998851,0.0141419508,0.9311263,0.9738430127729085
7.03611135,-0.166541174,0.0555909127,2.326468,-0.191560969,-0.298450232,2.00932837,-0.23402074,-0.832164764,2.065333,-0.008025061,0.06575038,2.34444618,0.0463196263,-0.293351173,2.030472,0.0898551643,-0.836697638,2.04465866,-0.00546719274,0.9998851,0.0141419508,0.9311263,1.0300679918060356
7.0691824,-0.175989464,0.121978469,2.31620932,-0.194351211,-0.26722905,2.0386467,-0.282958984,-0.8574219,2.03125,-0.0211710576,0.14570488,2.343225,0.054038167,-0.200375631,2.017105,0.136148378,-0.8075771,2.045141,-0.00546719274,0.9998851,0.0141419508,0.9311263,1.1100679029368477
