Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
5.43085337,-0.232288867,-0.184713632,2.4907043,-0.220327035,-0.757117033,2.350155,-0.238458842,-0.8401098,2.32331562,-0.005453539,-0.134963125,2.580946,0.0494417176,-0.59288156,2.2266748,0.122537151,-0.8917408,2.3458128,-0.017081555,0.986278832,-0.164202124,1.3747766,0.817961645447054
5.46385336,-0.194099575,-0.364728928,2.54530144,-0.2111892,-0.677402139,2.32520175,-0.242733821,-0.840482235,2.32521057,-0.0258676652,-0.340683758,2.59430051,-0.0047866893,-0.6053011,2.2422564,0.132289767,-0.8981215,2.31950355,-0.017081555,0.986278832,-0.164202124,1.3747766,0.6132196111979618
5.497376,-0.185677335,-0.3578456,2.55103946,-0.207744539,-0.6481884,2.2232244,-0.261762917,-0.947035968,2.34967232,-0.006898394,-0.333419561,2.59671116,0.09442334,-0.696473539,2.26066828,0.115604185,-1.00179422,2.38163424,-0.017081555,0.986278832,-0.164202124,1.3747766,0.6196642762650607
5.53037643,-0.192264155,-0.335522443,2.479764,-0.156847358,-0.456414253,2.050466,-0.233690128,-0.8582275,2.23523617,-0.02489788,-0.308243662,2.54481244,0.04676817,-0.471760124,2.13618445,0.103964493,-0.8361767,2.30868387,-0.017081555,0.986278832,-0.164202124,1.3747766,0.6533240709255763
5.56537533,-0.133340821,-0.249404937,2.50277448,-0.172524109,-0.459783077,2.113074,-0.231160536,-0.8244515,2.32963133,0.0100754043,-0.227710441,2.50507545,0.04815302,-0.4409164,2.116567,0.108734578,-0.864533246,2.2591207,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7386797799528694
5.59689045,-0.146142587,-0.242825642,2.49559712,-0.171118677,-0.472822636,2.11682534,-0.227346689,-0.8176749,2.33469987,-0.00135702523,-0.252077639,2.4948442,0.052639544,-0.448151439,2.09875035,0.101053424,-0.830100656,2.30725527,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7165222055958341
5.62989044,-0.161314875,-0.256052226,2.44856668,-0.166106746,-0.4606952,2.05333638,-0.2245438,-0.8729045,2.22292542,-0.0075030257,-0.254583359,2.47588778,0.0596073531,-0.4516474,2.08247471,0.0958595052,-0.820046246,2.30684566,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7172685346541922
5.66389036,-0.143690735,-0.18307972,2.44020772,-0.2046251,-0.4162175,2.06753635,-0.24930732,-0.8519841,2.18069839,0.00265111937,-0.1972609,2.43070078,0.08541264,-0.411803454,2.05020022,0.114443712,-0.842331469,2.1837635,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7810508137114274
5.696408,-0.127515823,-0.08029747,2.45095849,-0.2029195,-0.376464427,2.133795,-0.264400244,-0.81366086,2.2359972,0.023111172,-0.0740386844,2.44448042,0.08517105,-0.329950333,2.08736014,0.08886479,-0.7639001,2.21621823,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8999701378574998
5.7314086,-0.107689261,-0.01397927,2.44280887,-0.1966712,-0.3822036,2.23512149,-0.257958055,-0.7708977,2.35138679,0.0436887,-0.008924237,2.42493176,0.0925067,-0.271638125,2.07031131,0.06013383,-0.7028399,2.20551252,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9670495725753061
5.76440763,-0.1866371,0.1574392,2.47315884,-0.1501227,-0.228528887,2.279031,-0.247222543,-0.6710954,2.33259177,-0.0024245528,0.189885676,2.48623061,0.09881877,-0.136442542,2.047014,0.03690687,-0.5531369,2.21368527,-0.017081555,0.986278832,-0.164202124,1.3747766,1.1538538612440616
5.79692268,-0.182632938,0.2520063,2.45514655,-0.2160568,-0.304778934,2.3285315,-0.35439,-0.740920246,2.325204,-0.0120284809,0.294026136,2.459116,0.04981435,-0.1733593,2.111251,-0.0475887656,-0.5220174,2.248996,-0.017081555,0.986278832,-0.164202124,1.3747766,1.2611817163126742
5.82992268,-0.194035769,0.328430235,2.45528722,-0.215563446,-0.220430285,2.28016353,-0.337122679,-0.660016537,2.3099618,-0.01284808,0.380512416,2.459571,0.04317645,-0.106795557,2.14022827,-0.08096995,-0.365186065,2.30613041,-0.017081555,0.986278832,-0.164202124,1.3747766,1.346420589400942
5.863923,-0.161940485,0.4030913,2.46485472,-0.2043144,-0.132276475,2.24598,-0.322196364,-0.5678527,2.31397557,0.02326899,0.426939368,2.47326779,0.04471585,-0.0649635,2.156694,-0.09428996,-0.320239037,2.31682372,-0.017081555,0.986278832,-0.164202124,1.3747766,1.3893445305599346
5.89743853,-0.164245814,0.435982466,2.45246363,-0.213338524,-0.08451341,2.19579053,-0.327913,-0.509113967,2.31180882,0.01669432,0.4548468,2.46207166,0.0329899639,-0.06160696,2.19091678,-0.07313118,-0.372608572,2.26340985,-0.017081555,0.986278832,-0.164202124,1.3747766,1.4188197731518388
5.93143749,-0.1411641,0.462440252,2.45669675,-0.2079147,-0.0289139,2.14591455,-0.29580906,-0.447908342,2.29702687,0.03466964,0.4665118,2.46060681,0.112354316,0.017721178,2.0890193,0.005032839,-0.251424879,2.25223017,-0.017081555,0.986278832,-0.164202124,1.3747766,1.4302582004967062
5.965438,-0.132169291,0.463270932,2.46108174,-0.206206843,-0.00302447332,2.11269426,-0.2909157,-0.418893874,2.27358985,0.0537851974,0.4637121,2.46535182,0.127697334,0.0301371962,2.08321929,0.0500858277,-0.374851882,2.241659,-0.017081555,0.986278832,-0.164202124,1.3747766,1.426391251584842
5.996951,-0.0916700661,0.411323667,2.474512,-0.207664743,-0.0241563916,2.09775877,-0.283267647,-0.43921265,2.2641573,0.08840168,0.391804934,2.467607,0.136931434,-0.03340676,2.10078359,0.0830588341,-0.446149319,2.28033185,-0.017081555,0.986278832,-0.164202124,1.3747766,1.3545091290434057
6.029951,-0.08685923,0.333083123,2.465021,-0.231519863,-0.108865313,2.10837746,-0.279744029,-0.5333783,2.26035929,0.0846204162,0.302065,2.45271635,0.131369591,-0.104770385,2.1339426,0.120098948,-0.5296729,2.29187512,-0.017081555,0.986278832,-0.164202124,1.3747766,1.2685102001918513
6.063951,-0.0938524157,0.241956264,2.43521786,-0.2361581,-0.186899051,2.09451079,-0.262832463,-0.6221203,2.22098064,0.07011677,0.209234118,2.42122078,0.114358574,-0.200130627,2.1728754,0.127429992,-0.6349298,2.301917,-0.017081555,0.986278832,-0.164202124,1.3747766,1.1823724528582051
6.09746933,-0.131001681,0.122611023,2.40944958,-0.230030954,-0.150659248,2.07464576,-0.249630809,-0.5959591,2.16978812,0.04696415,0.09105931,2.399229,0.0873762146,-0.284201324,2.18372083,0.126645312,-0.720727444,2.30014586,-0.017081555,0.986278832,-0.164202124,1.3747766,1.0698257238886062
6.13046837,-0.166028023,0.03981921,2.26248837,-0.226528391,-0.366248,2.11743379,-0.24510026,-0.8136376,2.19511724,-0.0154094379,-0.007375677,2.2362504,0.0730288252,-0.4099471,2.23041487,0.102389164,-0.8355988,2.37686729,-0.017081555,0.986278832,-0.164202124,1.3747766,1.0005682518244505
6.165469,-0.16099523,0.008125702,2.26369071,-0.215037376,-0.3894809,2.11690068,-0.2373777,-0.830678642,2.2182436,-0.0168722291,-0.0297660641,2.24123931,0.08786158,-0.42990762,2.20821428,0.100150026,-0.860495,2.34329343,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9776908847064023
6.19698572,-0.1587288,-0.06878896,2.266277,-0.206120148,-0.460860759,2.102066,-0.245304674,-0.8990796,2.20728779,0.004140485,-0.100473173,2.26610541,0.107919455,-0.498256743,2.18830466,0.114709973,-0.9247255,2.33319688,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9035119655692744
6.22998571,-0.15958558,-0.0884453654,2.27149963,-0.200627029,-0.4766433,2.09438133,-0.243730947,-0.911891162,2.20789862,0.00459540542,-0.121173121,2.26552582,0.11529249,-0.516395152,2.18446827,0.111088641,-0.9385192,2.339992,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8831834447176934
6.263984,-0.162328124,-0.101636358,2.28434134,-0.194312453,-0.4854448,2.09361315,-0.213143617,-0.9166596,2.22478724,0.00181656319,-0.133499727,2.270579,0.124686666,-0.523726344,2.17832184,0.109771453,-0.9392629,2.34837413,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8702436985401124
6.29750252,-0.143101558,-0.111713246,2.34301972,-0.188153788,-0.466903716,2.096718,-0.212663308,-0.896049857,2.233317,0.013550262,-0.139725417,2.32528281,0.1226749,-0.5196328,2.165969,0.1133252,-0.935695231,2.33525014,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8549205210586106
6.33150148,-0.148747966,-0.117751248,2.32845521,-0.169696555,-0.4485466,2.04198027,-0.219362,-0.8798286,2.16656542,0.0153557155,-0.146910816,2.2896657,0.175453633,-0.510494,2.13718486,0.180522189,-0.9357628,2.28495836,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8536512793176002
6.363501,-0.10187263,-0.0151111735,2.47368288,-0.163183182,-0.437906146,2.13876247,-0.231741309,-0.86295104,2.26878214,0.0667041242,-0.0341028124,2.46379948,0.09903667,-0.434886575,2.20142579,0.104210131,-0.8517789,2.370605,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9354411760389065
6.39801931,-0.144194454,-0.09909382,2.3380208,-0.154534817,-0.43166998,2.05277729,-0.194922253,-0.868454933,2.16365719,0.02296348,-0.118746765,2.30748582,0.1630949,-0.486600876,2.14134049,0.162944332,-0.912036,2.28936172,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8783728320040372
6.430024,-0.127838284,-0.08012412,2.34633827,-0.156622782,-0.462613285,2.15097356,-0.185931832,-0.875206769,2.29617739,0.0452419445,-0.08044542,2.33574343,0.09775065,-0.482099175,2.21279478,0.08604245,-0.832652867,2.394311,-0.017081555,0.986278832,-0.164202124,1.3747766,0.911128126573404
6.4640193,-0.137142822,-0.07389017,2.32161331,-0.145960614,-0.437709,2.084056,-0.195873514,-0.874933064,2.18978286,0.0289285723,-0.08296846,2.30939317,0.13604787,-0.4744934,2.19061756,0.143721089,-0.9026519,2.33156729,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9132451319990255
6.496536,-0.118301839,-0.029480882,2.329946,-0.152128637,-0.440510541,2.170052,-0.2084739,-0.872127354,2.29128242,0.0448944345,-0.029432198,2.33764076,0.09011362,-0.437518924,2.24377871,0.09738753,-0.832660258,2.39234853,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9611357766917076
